review_text,prediction,targets
It was to difficult and takes a lot of time to create a routine,0,0
Good hard to change times,1,2
Why can't you add an attachment?,1,1
The app suddenly stops working on my phone,1,0
"Each of the features acts like it should. Only two things kept this from five stars: 1 - the reminder is set by default to 15 min and there is no easy way to turn that off or set it to another time. 2 - the events are colorless, making them less at-a-glance for looking up your plans for the day. Other than those two things, I've got no complaints.",2,2
It's ok. When we imported our list from Wunderlist the list was duplicated. My husband and I share a list for shopping. When we connected through this new app every item on the list was duplicated. Frustrating to clean up.,1,1
Sufficient for my needs simple to use,1,1
easy to use and good at keeping me motivated throughout the day,2,2
The customization screen at the beginning of set-up doesn't work. Tasks have tagging section with no clear way to actually add tags to it.,0,0
I really like this app to establish a new routine. I strongly rely on my calendar at work but setting it up for routines outside of work is tedious. At first it takes a moment to understand how repeating activities are set up but now it's a great tool! Feature suggestion: it would be also really great if you could include a habit tracker into the same app.,2,2
"As a taxi driver I do runs for two friends at all times of the day and 
night. I've downloaded loads of these things trying to find one that I can 
simply put in a job with a simple title like 'Bristol Airport Pickup', with 
the time I want to be reminded (not the time I make the first pickup) and 
one that I can add notes to for phone numbers, first pickup address and 
fare. Most importantly it must sound the notification even if mute is on at 
night and early mornings when ai am asleep. Every one I tried did the first 
two, none did the latter two. This one. It does let me add notes but sadly 
does not make the notification sound when the phone is on silent which is a 
big oversight - so it is of no use to me apart from runs when I am awake. 
Please fix tbis and I will hapily buy it. Please also add a feature so I 
can choose what reminder sound I want instead of it using the default 
notification sound.",1,1
Simple easy to use and attractive... I use it for block planning so very useful,2,2
Easy to use and full featured. Connects to Google Calendar and elsewhere. Project structure along with Categories and Keywords allow Flexible use. Filters allow you to Zero In on the Key Tasks and Actions to Be Aware of NOW and Here too.,2,2
It does not play ring tone on my mobile.,1,1
"For anyone who wants to manually order your list, just long press the task and drag/drop it. It's really easy. My 3 out of 5 is because the widget seems broken. I have a large 3 x 3 widget to see my Planned tasks. The list randomly disappears in the widget. Open the app and it's still there. Go to the widget it's still missing. Randomly it comes back. If this gets fixed, it'll be 5 of 5.",2,1
Want to like it. So far half of the set up items aren't even showing up for my samsung s8. All the purple screens are blank. Was excited to try but it doesn't work.,0,0
"че то вступительного туториала не достаточно, чтобы понять что делать",0,0
"No need for floating button on widget i think, add button on widget needs to be smaller. Also, possible to make the widget until 2x2?",1,1
"Todoist is garbage. Nevermind the idiotic text-based method for creating daily tasks, this stupid app seems to think ""every day"" is a suggestion, even with Premium. Been using this app for three weeks & every few days, it refuses to renew my daily tasks. Scheduled reminders disappear. Curse & blast whoever EOL'd Wunderlist cuz it was perfect for my needs. This todoist trash? Not at all. I will cling to Wunderlist until the very end.",0,0
Cool app but widgets stopped working so makes it pointless to keep,1,1
"Update 02.04.20. I was using this for a while but I returned to my old task manager of 15 years (updated versions of course). I like this out because it syncs between android and my macbook pro. works a charm. only issue - doesn't handle recurring tasks such as ""recurs on the second tuesday of the month. ..."" etc. simple recurring tasks are fine (every second monday). overall very good. easy to use. Once recurring tasks are implemented completely this will be superior!",1,1
Doesn't let me add even one item to my day without buying the pro version.,0,0
App is amazing but ios version is so much better than android version. It has many other settings while this one lacks them. i hope this gets fixed so i can change my rate to 5 stars.,1,1
this app is great but i have a problem. the timeline after a while says this app has been blocked by your system and its gives two options. 1) troubleshoot and 2) Refresh background task. This ptoblem is occuring every time. The troubleshoot isnt helping me. I have a vivo phone. please help!!.,1,2
"I have been using this app for years, and have loved it, but the latest version is sucking my battery. It's very frustrating.",1,1
Unable to tap widget to open app and open calender since update!!!!! Thank you for response. Sorted,2,2
Interesting and promising but not refined or intuitive. Chat function is one of the worst I've ever encountered.,1,1
Its a great app for those who understands the precious value of time. It takes time to set your own schedule but once you start....its fabulous... Keep modifying it to get best of it...,2,2
"after recent update notifications messed up. sometimes i can't turn it off, so it rings until you reset the device",1,0
"Very nice agenda widget. Also supports basic ICS import, saved me a couple of times. Had some problems deleting tasks, but might have been a glitch of my phone. But the look is great, one of the best out there",2,2
"This honestly makes tracking my daily life and staying responsible so much more fun. Having rewards is a great way to remind people that it's important to reward yourself for your hard work! I'm a really competitive person so this is really handy for actually getting myself to do things. Even if the reward is small, it's still gratifying to level up for not skipping uni or using the treadmill! Super rad and would definitely recommend to anyone looking for a more fun life tracking app :B",2,2
i had added a routine & by default it took a date almost 8 days ahead from today's date... i m unable to change the date... it's frustrating...,0,0
Awesome tracker yet it seems overpriced in my country way more more than the typical range of $5 its about $10 for me with tax included. Also I don't appreciate the greyed out price being the same as the 33% claimed discounted price very deceiving. Lastly the lack of support for a fingerprint access method is subpart for 2019.,1,0
"I would love to do a one/life time purchase for this app. Too bad I hate subscription based so sorry, I'd rather spend my money for something unproductive than this app.",2,2
"The setup seemed nice, but the constant pop ups are so annoying as to make it unusable",1,1
"I tested a few task apps, and this one looked promising at first. But very quickly I hit the paywall, even for basic and essential features such as reminders and labels. I'm going to use Trello instead.",0,0
"I just tried this app and I am already compelled to buy the premium version. I think this app has many potential, please make more simple UI so that when we're looking at timeline it doesn't feel so cluttered. A minimal look will be so much better. Look forward to more addition to the app and more great features.",2,2
"I love it! One thing I had a problem with earlier was that if I didn't have internet connection, it wasn't possible to log my dailies in. Now I have unlimited data, so this isn't a problem for me anymore, but might be worth solving this for other players. Everything else is just wonderful and a big help to life organization for scattered-mind people like myself 😅",2,2
"Not bad but not great. Pros: 3rd party calendar sync, time line view, icons & colour options to customise. Cons: can't sync devices, no task list or tick box. More options needed such as daily time line view, font size & highlight current day. Editing isn't easy & I think the whole app including widget could have a neater, tidier look. Overall it's not very intuitive, needs more options & flexibity. It has some way to go. I've got premium btw.",1,1
Nice looking clear presentation of the calendar,2,2
"This is the best and simplest habit app that I have used. I had tried a couple of others and never stuck with them. I use the notification feature to send me a reminder to mark off my habits for the day, so I don't even have to think about remembering to update it.",2,2
This is worst task game in my life,0,0
The best app in the world,2,2
"Very Nice App ... But who really needs to be reminded of and check off things we do all the time in daily life? If something is important next week or whenever, we normally remember it without fail - or we write it down. This App, while very nice indeed, typifies and feeds society's obsession with mobiles and tablets - and it renders people even more stupidly 'dependent' upon help - instead of what used to be 'common sense.' 🤔",2,2
Love this app. Its helped me with my motivation and procrastinating. I've been more motivated since using it. But I'm having a very frustrating issue that is driving my OCD insane. I try to move a task in my list... Only for it to disappear or move itself somewhere I didn't tell it to go. I try to keep my list in a certain order of how i should get things done and this is not helping me at all.,1,1
"Since I've updated the app, it doesn't record my working hours! And also it stops and freezes every time I check it! Should I uninstall it? :-(",1,0
Excellent way to gamify life to help motivate.,2,2
"This is exactly the app I was looking for to visual my day, as the clock face just makes sense. However, only being able to add to the schedule via external calendar apps makes this completely unusable. I tried to use it to better manage my routine, but my calendar app became so full of menial tasks that I was unable to see my upcoming appointments and events of most importance. It has amazing potential, but is currently only good for basic planning. Very disappointing.",0,0
"The app is pretty good, but I wish there was a way to put weekly tasks in. I tried setting up a task that would go off weekly but I still lost health for not completing it daily. It would be nice to be able to put repeating tasks on the app that you don't do every day, but repeat on a schedule, like laundry every Sunday or something.",1,1
Can't even use labels for free - it's a premium feature! Uninstalling on principle.,0,0
"The app is great, but I really don't like new dark styles with orange details color... Please add the ability to change details color back to blue (or some others).",1,1
"It's great app, very much helpful to focusing but now it's not as its stopped all the time from 2 days even for 15 min time and bcoz of this I didn't get any tree and from beginning I loss many trees which worth atleast 150 points which demotivated meso pls fix this problem",0,1
vb,2,2
Great app but as someone else mentioned there's no calendar view which for me makes it pointless. Real Shame. The search goes on...,1,1
"i have written 0 or 15 minutes for a 30 minute target, the app still registers it as part of a streak, even after i delete the entry. seems like its just ignoring what i tell it. also, what i really want is an hours per week target",1,1
"Great app, stability is still a bit shakey but you never lose anything even if there is a crash. Join this community if you are serious about getting your act together and having as much fun as you can while doing it. You get what you put into this and you don't have to pay a penny if you don't want to. But in my experience, when you meet the amazing people this place attracts, you'll find yourself getting more and more involved and wanting to contribute however you can.",2,2
Easy to use and keep my tasks in check. Love that I can have different sub tasks for different projects though i wish they could vbe color coded so as to differentiate them,1,1
"I enjoyed using Habitbull in the past and decided to give it another go. Not a lot has changed. I do like the app, very simple to use and gives great reminders.",2,2
"New update to the widget makes it so I can no longer get into the full app by tapping on the widget, I actually have to go into my list of apps or create a whole other shortcut. You tout a fully operational widget but I can't rearrange my list entries via the widget, only the full app menu (and it was already a pain to rearrange my tasks in the first place, I really really wish there was an option to add new tasks to the top of the list rather than the bottom.) I will be trying out new to-do list apps now.",0,0
"The idea behind the app is nice, but it isn't userfriendly. Finding and adding friends to use it together was so counter productive that it got us to waste time we could be actually doing our daily tasks.",0,0
Helps me keep track of my tasks and goals in an intuitive and easy to use interface.,2,2
"Love this app, but it only lets you keep track of only 5 habits at once, for more you have to buy premium, but other than that, its great!",2,2
Just getting started with this app but so far I love it! Great way to track good habits and bad!,2,2
"App broken, don't bother. Like many many other reviewers, this app is totally broken and defunct on Android devices and specifically Galaxy S10 / Note 10 devices. It seems the developer response to all of those reviews is ""please report a bug"" but this has now been an issue for months that they haven't looked into fixing despite dozens of notifications from users that their app is broken. I have instead now downloaded an app by another developer which actually works. I will not be back.",0,0
"So happy with it, helps me with my block scheduling 👌🏻",2,2
"Best productivity app I've found, goal progress tracking, hierarchical task management and progress reports would make it even better",2,2
"I deleted, still sending emails inscribed STILL CANT GET RID OF IT. PLAYSTORE HELP",0,0
"Useful motivator to avoid phone usage, even on the free version. Very helpful.",2,2
Force closes when trying to create challenge,1,1
"its a cool app, it really is, but developers need to understand that a subscription based system is not for every app. im fine paying a subscription fee to netflix, or Spotify because there is new content almost daily, but i refuse to pay a subscription fee for a todo list app. make a payed app, ill buy it for 30 bucks, what i wont is give you 3 bucks a month everymonth and add yet another subscription fee to my list",1,1
"Can you make the graph fully editable eg without importing from calendars? 
I want to be able to add stuff without it having to access my calendar",1,1
"Buggy. Stuck with a connection to server error which seems ridiculous 
because all the app truly has to do is figure out what day it is and let 
you mark tasks off as complete. Nice concept, as it does make doing daily 
chores and setting goals a bit more fun to complete. But there's still a 
long way to go.",0,1
"Broken! So far, not impressed. I bought this expecting multi-device sync and haven't seen it do that. It wouldn't even restore a backed up file after logging off then on.",0,0
Very confusing. When problems occur the resolution isnt made clear.,0,0
Love the app. Would love a version for Windows/Chrome to use on PC. Also I bought a premium version and now when I opened the app after 4 months it has reset itself to the non-premium version.,1,0
Inaccurate - always says activity overlaps with another activity when it doesn't.,0,0
"Even though you don't get full access for free, this app still helps you a lot with habits you want to change. It's just an organizing tool to motivate you to keep going. Worth a try!",2,1
"I like the app, but you can't tick thing's off. I like to go through my tasks and tick each one off as I do it. Then I feel I am accomplishing something,  I feel I am  getting somewhere. If it had that, it would be brilliant.",1,0
Nice app but there is a with the tasks syncing with other calendar.,1,1
This app have everything from UI to Features without costing much..Best in the market.,0,2
Great app,2,2
Love this. This is a fun way to build your self up,2,2
"Great list organizer! I've used any.do for several years, and frankly I like the organization and features of Microsoft To Do better. The only feature I miss is a total task count. Microsoft will likely add it in time.",2,2
"Does it not have feature to set reminder daily, weekly, monthly and yearly?",1,1
This was fantastic for my daily workplan. So easy to do. I was up and running after 10 minutes. Very easy to edit like move tasks to next day or another date if not complete. You can add real time to tasks helpful for setting up order of priority on list. You can select those tasks that repeat and set them up. It has an alarm reminder My husband downloaded it and can do many org things too. Get it.,2,2
"I have been using this for more than a year now, it was great, this is where i jot down notes on my classes and meetings, but this new update may have a bug i cant access it even with the correct pin i have entered Pls fix this issue, thanks",1,0
"its a great app in general, just want a couple of tweaks that would make using it more streamlined. The biggest thing is I have goals that increase incrementally every day, I would love to have a way to have a yes or no that shows that incremental adjustment. Also, when inputting numerically set goals, I want to be able to just start typing the number and have it replace the default 0.0 without placing the cursor and backspacing to enter a result. Still, the interface is otherwise great!",1,1
"Stopped syncing properly at some point, which drives me nuts because having an updated schedule on every device is very important for my job. A",1,1
So addicting especially for gamers who love to level up!!!,2,2
"The website is buggy, but enjoyable. The app, however, feel almost nonfunctional.",1,1
"it's clear to me that this is the best todo app, and I've used it for a long time, but having reminders be a premium feature is just unreasonable as it's impossible to use a todo app without them. I'll be switching to TickTick.",0,0
Needs to have feature where you add the next item to the top of the list not the bottom - Widget version,1,1
Needs internet connection and is a pain to set up simole tasks.,0,1
"I gave it a lower rating because lately if I had any repeat scheduled appointments, I can't change one without changing them all. Very aggravating. Before, I was able to cancel one without affecting all the future repeat weekly or monthly entries. Before, I could use this calendar to keep track of my past activities. Now it looks like I attended a meeting when I didn't because I couldn't cancel it without affecting future meetings",1,1
Great Tool,2,2
"It doesn't ring the alarm at the right time. only when I open my phone, it starts ringing. useless for me because I want it to ring at the right time and remind me on my realme phone. Highly disappointed! :(",0,0
love it,2,2
"Best to do app 1. You don't have to pay for the main things There no things to buy already 2. It is simple 3. Design is fantastic 4. They have main things of any todo app (List ,hashtags ,reminders, my day tasks , important task , due date ,....) Okay , there are features in another todo app you won't find it here like ""sub-sub tasks"" But another app you have to buy another nesscery feature like reminder ... So I suggest this app ""microsoft to do"" is the best to do app💙💙",2,2
This is the best app u can customize your to do list and its reminding feature can help u not 4get any of the task u have to do and it can be much more better to have ur to do list on ur phone cz it can keep u remember ur tasks,2,2
Its great,2,2
"Very good... Excellent features. Especially for the subtask, the option to add step for achieving the task/subtask. Kindly add a calendar feature to get an overview of what is ahead. Also, some ready made quick reminders like a call, payment, email, a template for grocery, etc would add cheery to the cake",2,2
Paid the 2.99 for the calendar sync as I really needed that and found that it didn't work. However they quickly refunded my money and the issue may have been with the compatibility of my phone.,1,1
Good,2,1
"I should be able to use the app when offline, and the app should sync the changes whenever connected to the internet. It shouldn't force me to connect with the internet for ticking a checkbox!",0,0
"latest update has not fixes bugs that occur every day.frustrating to use.sometimes it won't save,will just have a loading loop.Some basic things are not customizable like the calendar starting on Monday or the date format ,doesn't keep track of activity data correctly . Please focus on getting the app to work instead of focusing on superficial appearance! was thinking of paying for a subscription but what's the point if the money will not go towards making the app usable & less temperamental?",0,0
Just upgraded to premium version. App and Google play list subscription at $27.99. I got charged $29.84. ???,1,1
Excellent super app. Gift my god. Thankyou,2,2
"The app has been great on desktop and decent on the phone. Performance of the Android app is noticeably worse than iOS though, especially on start up.",1,1
Need premium level to import wunderlist. B.S. Have to reset password Everytime to login. So haven't been able to even try the APP.,0,0
This is a great app. I love gardening and this app also explained me about different plants and also has a timer👏,2,2
"I want to create a regular schedule and be able to amend times for regular activities on the occasional week.  Unfortunately, when you amend the time once it changes your schedule completely.  EDIT - I appreciate the response and looked at the guide.   I don't want to have to create a whole new bespoke routine day if I am just amending the timing of one event.  Unfortunately, this is not flexible enough as this won't save me any time.",1,0
the app is good. but ive few complains. sometimes i need to use the web browser but i cant open it since it would wither my tree. so thats a hassle. and also make 1 tree for one hour.,1,1
"what is the use of this app if it can not show notification with sound, also can not alert me when i m buzy in others chaos.",0,0
Has literally changed my life. I use it for everyday tasks and chores. My husband and I literally no longer argue about what needs to be done around the house. I also use it as a grocery list as well so my husband and I can add things to it and when we go to the grocery store we just swipe of that we got it. Absolutely life changing.,2,2
It is amazing app. It was working great a week ago but i don't know why from this week it doesn't count the time properly for example if i studied 4hours+ it only shows 1hour. But overall i really like to study when i use this app. I hope they fix the bug soon.,1,1
"Customer support is completely unresponsive. I purchased the upgraded version and it doesn't sync as promised. There has been no help on FB, email, nada. Kinda sucks TBH. The app is nice. The Android widget is what makes it great. Plz fix the sync issue and I'll update my review if your customer support reaolves the matter and makes things right with me.",0,0
Best app to use. 3 star only because it is not available in hindi language whenever it will be in hindi language i will add my 2 star. Thanks team Todoist. :),1,1
"Its not a bad app at all, but it could be better. If you could keep track of how often you complete a task that would be better. Like if you checked off every time you shampooed your hair it would be nice to keep track so you can change how much you shampoo if needed. Also i feel like having a bar at the top to switch between lists makes more sense than the way it is now. You should still give it a try if you need something like this because you might like it better than i did.",1,1
Good and helpful but the notification alarm does not snoozes automatically . The notification stays on the notification bar until not removed. Pls keep a limit till after which it should snooze.,2,2
Widget has stopped working and the developer is unresponsive.,0,0
Everything is under pro version.,0,0
"I would not recommend this app bc of an essential flaw in design - it doesn't allow you to just type in habit, instead it quizzes you. So, a simple act of just typing what you'd like to do turns into this crazy and overly complicated thing.",0,0
Experiência muito boa mas tem muito a ser feito.,1,1
"I really like this app..and helped a lot on mobile usage..but after unlocking 3 or 4 tree species, the app wont open ...the same happened after installing the second time",0,0
After years of using Wunderlist and organizing both my professionell and my private life with the App I made the switch to Microsoft ToDo after they announced that the Wunderlist Service will be terminated around Mai this year. (2020). First impression was good and after years of using Wunderlist I felt at home. But on the first day in the office came the shock: You can not manually reorder the tasks!!! Seriously? That undermines how I and I guess a lot of people use a ToDo List...,0,0
Events Disappear,1,1
"Even after several updates, the problem persists: Despite adding and sceduling tasks, the calender inside the app isnt showing any tasks at all. No tasks visible at all in the in-app calendar view. In the calendar widget however, i can see tasks arranged datewise. Honestly, yours is a really nice app with features, but what's the point to having them if they don't work in the first place.",0,0
How do you get it to sync with your ms outlook calender? What does it mean you detailed it in #8,1,1
"Now realize will not show appointments over 12 hours out, however would think should see them in overall list, but not on widget....good but could be just tad better.",2,2
Great app to keep your timing steady.,2,2
It's very versatile; the project system makes it easy to group tasks together. The one problem is that it doesn't have a calendar view.,2,2
"WTH?! I used Wunderlist happily for, oh, about 7 years!Complete BS! They make you sign in to an acct to use this. I will NOT BE FORCED to sign in so all my personal info is linked with all my private grocery and to-do list. Microsoft has enough of my info and I have been less than happy with the invasion of Cortana on my laptop. MS help is the WORST (besides Google). So why would I want this co. storing THIS level of my personal life in their database? F no! Deleting this app immediately.",0,0
Troublesome widget organization. When I tap a date it opens app to date previously open not new date needed. Very time consuming and creates booking mistakes when not careful.,1,1
"I like this app i really do. However one caveat i feel is that it can only sync to a gmail or the native phones calendar. Outlook calendars are not supported as far as I can tell. So for me, I work with outlook, thus any meetings etc cant be viewed seamlessly with respect to a current timeline plan.",1,1
Sometimes gets dates wrong e.g religious holidays. Not as intuitive as others. Ok for basic use.,1,1
It's very helpful in keeping track of tasks and managing time.,2,2
Why you gotta pay for push notifications or reminders at a certain point.. You guys are just a company trying to get rich.,0,0
Initially I use without hesitation. But gradually it's getting worst,0,1
"Doesn't let you say you did something yesterday, which is for me a big deal, as I browsed the options looking for a way to do that almost everything was only a premium option",0,0
Any chance of getting a widget for the calendar?????,1,1
"I really love the app! But I have one suggestion though, I hope you make the trees animated so users can have a better experience and enjoy their forest more! Nevertheless, this app is 💣",2,2
"The Idea is brilliant but the apps do not work on my phones, I changed the apps to another apps and forest keep growing :( pls fix this",0,0
Why can't task assigned for today are automatically in my day,1,0
There wasn't a synchronization between the app and outlook mail calendar.,1,1
The Google Calendar integration is riddled with bugs and it has been this way for months. They don't fix it and they are pretty slow on their communication. TickTick is becoming very tempting.,0,0
Useful widget to view the schedule of calendar. What I like the most is I can just activate one event of Google Calendar and see it in the widget. Was looking for this type of app for a long time 👍,2,2
Very good!,2,2
This just displays your calendar as a time sector. Whenever you click on + it redirects to calendar.,1,1
"Free version does what I need, with the exception of undelete when accidentally clicking the wrong thing. However the cost of pro version too much for just that feature",1,1
"Ever get a phone call from a Salesman whom you don't remember giving your phone number out to? this is the app that does it. it reads your phone number and identity and uploads it to the cloud where it can later be sold to the highest bidder. this app makes sure that it gets your identity because you have to login before you can even use it. once you log in, the game is a huge disappointment. mypoli has everything over this.",0,0
"Super app with horrible widget. You can mistakenly complete a task by clicking on widget, and it's gone without you even noticing it. Free apps have better widget honestly.",1,1
It has made me more productive than ever,2,2
"Sorry, not Impressed I'm sorry to leave a poor review, but I thought it best to let the developers and others know I had so many challenges with it I wouldn't know where to begin. :( UPDATE: Although I initially gave the app a one star, I upgraded to two because their response was kind and professional. They asked for details of the challenges I had with the app and were genuinely pleasant to correspond with. So if you have a complaint, share kindly because they really do care. :)",2,0
"The app is excellent in it's working. However, it crashes frequently, making me uninstall and reinstall it. Typically I think it happens if I open the app after a few days, without closing it properly ( forcing it to go in the background).",1,1
"Works much better than the desktop version, as it doesn't close itself suddenly when you're not on it!",2,2
"it seems like a really nice app. But some functionality is broken. when I add routine delete few items, it merges in wrong way so some days become small while others have 34 hours",1,1
"Subscription service to enable simple reminders is ridiculous. I was willing to pay a one time fee for a solid app, but having to pay nearly $5 per month just to enable reminders is absurd. Once I saw how many basic features were being kept behind a pay wall, I had to stop using it",0,0
"I'd be fine with paying $10 or $20 for this app. I'm not fine with paying $3 a month forever to continue using it. Without being able to use reminders on the free version, it's no more useful than a $5 pocket calendar, and I'm not willing to pay what they're asking.",1,1
Really like this app but wish I could see my WHOLE calendar or at least have the option to search for a specific date. That would make it perfect as I want to use it as my go to planner.,1,1
Drains a heck lot of battery,0,0
This app is very helpful for me to cut back from Phubing and spend time staying focused for as long as I wish. There's only the problem of the crashing of this app oftentimes. Please do fix it. And thank you♥️.,2,2
Very customizable and easy to use. Works great with Google calendar but I can't get it to sync with my office 365 outlook account. Bummer!!,1,1
"Used to think it was a 5 star app but they keep making it worse (and worse). Specifically it wrongly interprets touch screen movements putting tasks in random locations rather than where you drop them, often the very end of all your tasks, so you have to waste time dragging it back, sometimes for dozens of items. Reminders bug me the moment I wake up & won't switch off. You only let me move a reminder 15m, 1hr, 3 hrs. So with a list of 20 things I get 20 reminders 3 hrs later. Annoying as hell.",0,1
"Easy setup for the most part but ended up deleting it. Only one level of subtasks makes the to do list suboptimal. Only links to Google based calendars so my work, school and personal calendars aren't seen. [there is a disconnect between the app and the referenced article's options and instructions]. I don't mind paying for premium features as long as it is a one-time payment, the whole SAAS model is annoying.",0,0
"does not work on galaxy watch...It would be so perfect if it would. The app is the best though, but how can an app built for planning and reminding not work with something as basic as a smartwatch. Makes no sense.",0,1
Was forced to switch to this from wunderlist. The only thing better about it is dark mode that extends to widgets. Everything else sucks. I now don't even get about 30% of my reminders anymore and have to constantly reset things. Microsoft is one of the richest companies on Earth and this is the best they can do?,0,0
It won't sync tasks with google so what is the purpose? And customer support is helpless! No one knows how to communicate about the problem and they make the issue worse instead of fixing it. Wish I could give it 0 STARS.,0,0
Lovely,2,2
"3/5 cool idea, but way too many adds - opposite of making someone ""focus"" Edit 4.5/5 (after purchasing pro v) Pretty good. I wish there was a way to adjust the time goal to be something else other than 25 min. Or instead of trees being different at 60 min, 1.5 hrs. Etc. Some trees shld be diff at 40 min, 50 min etc.",1,2
"Hi there, this app really helps me a lot in keeping myself focused and restraining myself for overusing my phone. But right after updating the app, I was unable to open the app again, please fix this problem as soon as possible, thanks!",2,1
Couldn't get the rest of my calendars to appear. Feedback help wasn't clear as well. Uninstalling,0,0
"In my opinion, it is the best app for reminders and to do. I use it every day to plan and organize my day. Some features I constantly use are Google calendar integration, focus mode and priority tags. The interface is also very clean. Great work, Any.do team",2,2
Ok,1,0
"My review might be a little skewed because I'm looking for something specific. I want an app to create an hourly task today, that doesn't require me to enter in a reminder for every hour in the day. I don't really need a task manager because I have 3 built into other apps, and I don't need a place to keep notes to be reminded about because I also have several apps that do that. Really I just want a flexible natural language reminder app.",1,1
pretty good app,2,1
Hii and,2,2
"Easy to use, previous entry can be access at any point",1,2
Went for pro for the whitelist yet i still cant off my phone or visit the internet when i need to,1,0
Literally everything that i ever need in a todolist app... the minimalistic design and AMAZING user interface is soo user-friendly and helpful to stay organised and plan my days accordingly. Honestly this has been nothing short of a life changer for me.,2,2
"I think it's pretty cool how this app communicate with the calender, smart watch greatly enhanced the experience as well, good job. I just wish there was a galaxy watch version of it. :(",2,2
Excellent time management and gives you a real sense of your day. I would however had liked to be able to change dates to see how other days are looking.,2,2
Great,2,2
"Great idea, but would be better if it was stand alone and not dependent on 
Google calendar to input times/events.",1,1
برنامه ی خیلی خوبیه. از همشون بهتره.ولی جا داره ک بهترم بشه,1,0
i had installed the trial version but did not use and it was of no use at my end. to my surprise i see today getting an sms from vodafone to be charged Rs.1028 for one year subscription. i contacted vodafone and they told me to delete .the app within 48hrs of installation which i did. pl cancel this subscription as its of no use to me so that this charges could be credited back by vodafone to me. Developer - pl refund back my money as i dont use it.,0,0
Not a movable app,0,0
Different colors are not available for different tasks.,1,1
"Only began using it but seems intuitive to use. Love that I have various lists, link to projects, share lists, assign tasks and gave due dates",2,2
The last update caused annoying hesitation/delays when working with tasks in task view.,1,1
"This app could be five stars to me. what is stopping me is the confusion on knowing just what tasks to do or not to do. There's a confusing list of tasks that show up at the bottom and if I did not do them the day before or not click them, they just show up there. If I delete a task from the calendar on accident what do I do? the calendar should be completely removed cuz it's worthless. I think tasks should have some sort of streak function or show how many times you have done it in a row.",1,1
It's very nice view but I need also 'to done list' in which feature I can input what I did and review after that myself..,1,1
Good,2,1
I dislike the update but mostly I dislike that it was changed and I had to look here to find out why. If you are going to change the core functionality of the app at least say so when I open it. I am greatly fighting my response to just uninstall out of frustration.,1,1
Excellent and detailed beyond average love it!!!,2,2
"I've been using the app for a few weeks and I love it. I didn't give it 5 stars because sometimes I get a notification that a task is due, before the notification day/time I set. Other than that, no complaints.",2,2
Good,2,1
Not sure what happened but now I have to hit the sync button every time to get my calendar to sync. I've deleted the app and reinstalled and still having the same problem,1,1
I really enjoy this app because it stops me from sitting on my butt 24/7.,2,2
Really helpful app to keep track of my to do list. It is nice to have an app that is very organized. And I can keep it separated from my other things. Great App and better than any app I have tried. A++++,2,2
Great way to hold yourself accountable for setting goals,2,2
Nice,2,2
"Best task app out there. I always come back after testing newer ones. But the new notifications are terrible. They turn my screen on at random times, don't follow material design... I already have the quick add notification, why are they a separate section?",1,1
"I like this app👍but my routine won't work and notifications won't make 
sounds and not appear on screen...",1,1
its too complicated,0,0
Loved it until they added cartoon ads. You'll be with a client and a video game comes up as you're scheduling their appointment. Makes us look very unprofessional.,0,0
"The new version is too complicated to use and I could not find any directions. However, a application with a easier use will be my preference.",0,0
This is a good app for note and everything as you want.... I am so happy for using this app....but it is more better if have search options...so currently improve it..,2,2
"Nothing work, I have my calendar prepared for months, and nothing come inside the Sectograph, Even I added new one, nothing appeared",0,0
Excellent balance between reminding you and not being annoying. Well done.. I have some ideas for you.,2,2
Just installed and all of my events seamlessly transferred to this planner. If I could give 100 stars I would.,2,2
Not sure yet about other features but definitely need the ability to access the full app from the widget,1,1
"The time in the center of the widget, most of the time does not get updated. You have to open the app and then the widget is updated.",1,1
"Very nice working space, but the display of things can be a bit nicer.",2,2
This application is very good. Feature rich and most powerful. Even though you should add few features in the app.   1- Repeat frequency should have hourly and 30 minutes  2- Add bullet points format in the notes section. Like Google keep have.  3- Provide database backup option with Google Drive and Dropbox.,1,1
Ok but doesn't feel too user friendly and kinda weird that the calendar is behind a paywall,1,1
"This app is actually wonderful. I'm hoping you can add the ""forward"" and ""backward"" buttons on the widget (potentially just as another available function of those virtual buttons) like we have access to in the full app. It would be nice to click forward through the calendar and then, say, click the clock center to refresh and reload with the current time.",1,1
Why it is not giving me notifications for dailies?,1,1
This is just great!! I saw my favorite youtuber using this and I was like what the hell is she using that enables you so much facilities like you are bound6to stay focused. I literally searched for the name of this app and I finally found it. I am using it for 1 month now and it's the best..!!! ❤ but sometimes it just don't notifies me when the time is over and sometimes just keeps counting the time even when I m watching YouTube or instagram on my phone.,2,2
Been using it for ages. Improvements keep coming. Still waiting for an app to master the 1 year overview.,2,2
Acceptable,0,0
Dark mode - done. But why on earth in 2020 I still can't rearrange my sticky notes??,1,1
Too much ads appeared out of no where.,0,0
Too many fake menu items in the free version (all that items just ask you to buy the paid version).,1,1
I love the idea but there are syncing issues.  Events take forever to show on the graph regardless of whether i entered them in the sectograph app or my google calendar.  They show up in my google calender almost automatically regardless of the same.  Also i think 12 hour clock makes it tricky to read since the switch from am to pm is in the middle of the day.  I have something starting at 12:30 and i cant see it on the sectograph but there is a little arrow at that start time with the first letter of that event and nothing else.  It's confusing.,0,0
